Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Drug_9,Drug_10,Reward
1,1,1,4,2,7,8,5,1,4,6.33216392542657e-06
1,1,1,8,1,2,4,2,8,7,2.79915108436501e-06
1,1,1,8,1,2,4,4,2,4,3.05716133175427e-06
1,1,1,8,1,2,4,4,6,1,3.72768692891157e-06
1,1,1,8,1,2,4,4,6,8,3.77940013773781e-06
1,1,1,8,1,2,4,4,7,6,4.93330540451975e-06
1,1,1,8,1,2,4,7,2,4,2.43114424502977e-06
1,1,1,8,1,2,4,8,4,1,5.1850115413421e-06
1,1,1,8,1,2,4,8,4,4,4.70823331089054e-06
1,1,1,8,1,2,4,8,4,6,2.81085314324248e-06
1,1,1,8,1,2,4,8,4,7,1.78470208178627e-06
1,7,6,4,4,8,7,4,7,7,9.99229686993175e-06
